id,meal_name,energy,protein,fat,cho,consistency,dish_type,color,main_ingredient_1,main_ingredient_2,meal_group
130,Aspurlu Pilav,387.13,13.37,13.63,52.17,0,2,2,3,0,12
131,Büryan Pilavı,491.66,20.23,23.63,49.17,0,2,2,3,0,12
132,Domatesli Pirinç Pilavı,332.96,4.92,13.28,48,0,2,1,3,2,12
133,Dövme Pilavı,505.2,28.32,25.88,39.6,0,2,2,3,4,12
134,Hamsili Pilav(İçli Tava),731.01,55.83,32.93,52.24,0,2,2,3,0,12
135,İstanbul Pilavı,513.16,46.62,13.92,49.38,0,2,2,3,2,12
136,Kabune(Etli Pilav),431.82,19.1,17.59,48.75,0,1,2,3,0,12
137,Kestaneli Pilav,509.37,36.01,7.29,73.51,0,2,2,3,2,12
138,Keşkek,412.95,34.91,14.09,35.95,0,1,2,3,0,12
139,Mevlevi Pilavı,651.58,29.66,25.26,75.56,0,2,2,3,4,12
140,Meyhane Pilavı,402.93,19.99,17.58,40.54,0,2,1,3,2,12
141,Müceddere,396.26,11.34,16.95,49.22,0,2,2,3,4,12
142,Nohutlu Bulgur Pilavı,320.89,7.65,13.85,41.05,0,2,2,3,4,12
143,Özbek Pilavı,431.19,16.58,18.37,49.54,0,2,2,3,2,12
144,Patlıcanlı Pilav,499.02,19.65,24.47,49.73,0,2,1,3,2,12
145,Yumurtalı Kabak Kalye,156.63,7.58,11.62,5.28,3,1,2,0,2,13
146,Elma,60,0,0,15,3,3,,5,,16
147,Portakal,60,0,0,15,3,3,,5,,16
148,Şeftali,60,0,0,15,3,3,,5,,16
149,Nektarin,60,0,0,15,3,3,,5,,16
150,Mandalina,60,0,0,15,3,3,,5,,16
151,Kivi,60,0,0,15,3,3,,5,,16
152,Muz,60,0,0,15,3,3,,5,,16
153,Kavun,60,0,0,15,3,3,,5,,16
154,Karpuz,60,0,0,15,3,3,,5,,16
155,Kiraz,60,0,0,15,3,3,,5,,16
156,Çilek,60,0,0,15,3,3,,5,,16
157,Üzüm,60,0,0,15,3,3,,5,,16
158,Nar,60,0,0,15,3,3,,5,,16
159,Kayısı,60,0,0,15,3,3,,5,,16
160,İncir,60,0,0,15,3,3,,5,,16
161,Bostana Salatası,40.79,2.05,0.38,6.56,1,3,1,,,14
162,Cacık,149.53,6.33,8.46,11.18,1,3,2,1,,19
163,Cevizli Patlıcan Salatası,167.29,5.13,12.94,7.26,0,3,2,,,14
164,Çoban Salatası,66.7,1.61,3.86,5.94,0,3,,,,14
165,Fasulye Piyazı,244.23,11.78,12.55,20.44,0,3,,,,14
166,Kereviz Salatası,188.24,6.68,14.72,6.8,0,3,2,,,14
167,Koruk Salatası,45.97,0.51,0.17,9.96,0,3,0,,,14
168,Lahana-Havuç Salatası,74.25,1.13,5.2,5.63,0,3,2,,,14
169,Mercimek Piyazı,232.27,10.5,10.71,22.95,0,3,,,,14
170,Pancar Turşusu,89.27,3.21,0.2,17.22,0,3,1,,,14
171,Patlıcan Salatası,185.93,2.51,16.43,6.92,0,3,,,,14
172,Semizotu Piyazı,27.75,2.08,0.48,3.18,0,3,0,,,14
173,Tahinli Patlıcan Salatası,122.7,3.59,9.03,6.42,0,3,2,,,14
174,Yoğurtlu Semizotu Salatası,87.07,5.47,4.38,5.68,0,3,2,,,19
175,Kefir,91.16,4.9,5.01,6.17,1,3,2,1,,19
176,Domates Salatası,112.86,1.29,9.92,3.69,0,3,1,,,14
177,Domatesli Patlıcan Salatası,121.1,1.7,10.5,4.46,0,3,,,,14
178,Gavurdağı Salata,146.66,2.52,11.97,6.96,0,3,,,,14
179,Havuç Salatası,118.45,1.17,8.29,9.1,0,3,1,,,14
180,Karışık Salata,103.53,1.43,9.11,3.19,0,3,1,,,14
181,Kırmızı Lahana Salata,117.46,1.97,9.61,4.88,0,3,2,,,14
182,Armut Tatlısı,180.97,1.45,5.85,31.16,3,3,3,5,,15
183,Aşure,334.79,6.29,5.38,63.37,1,3,2,4,5,15
184,Ayva Tatlısı,249.41,1.38,6.11,45.81,3,3,3,5,,15
185,Baklava,511.22,5.21,23.69,69.02,0,3,3,3,,15
186,Fıstıklı Künefe,382.14,3.93,18.18,50.51,0,3,3,3,,15
187,Gaziler Helvası,882.65,17.46,50.65,89.55,0,3,3,3,,15
188,Güllaç,359.05,6.59,12.74,54.02,3,3,2,3,,15
189,Hoşmerim,523.3,7.29,30.81,54.43,3,3,3,3,,15
190,İncir Dolması,262.52,3.45,10.18,38.47,3,3,3,5,,15
191,İrmik Helvası,523.25,5.99,22.07,74.74,0,3,3,3,,15
192,Kabak Tatlısı,524.72,5.74,11.88,97.13,3,3,3,5,,15
193,Kalbura Bastı,422.53,3.84,21.1,54.24,0,3,3,3,,15
194,Kayısı Dolması,279.58,5.61,11.48,36.27,3,3,3,5,,15
195,Kaymaklı Elmasiye,253.77,7.17,6.67,40.71,3,3,3,1,,15
196,Kazandibi,364.28,6.11,6.83,68.69,3,3,3,1,,15
197,Kemal Paşa Tatlısı,457.14,10.04,13.94,72,0,3,3,3,,15
198,Keşkül,376.2,8.37,11.88,58.38,3,3,3,1,,15
199,Kuru Erik Hoşafı,176.11,0.57,0.15,41.78,1,3,3,5,,15
200,Kuru Kayısı Hoşafı,181.19,1.25,0.13,41.91,1,3,3,5,,15
201,Lokma,365.42,3.3,10.72,63.27,0,3,3,3,,15
202,Nevzine,381.85,6.33,16.73,51.1,0,3,3,3,,15
203,Nuriye Tatlısı,439.9,9.21,18.66,58.41,3,3,3,3,,15
204,Pekmez Helvası,548.74,6.42,19.88,84.88,0,3,3,3,,15
205,Pekmezli Karışık Hoşaf,109.04,0.72,0.37,25.05,1,3,3,5,,15
206,Peynir Helvası,539.4,16.79,21.36,69.33,3,3,3,3,,15
207,Peynirli İrmik Helvası,579.2,13.84,26.17,71.62,0,3,3,3,,15
208,Peynirli Künefe,417.63,8.35,20.83,49,0,3,3,3,,15
209,Sarığı Burma,443.23,5.93,23.79,51.35,0,3,3,3,,15
210,Sünger Tatlısı,391.65,6.1,5.94,77.3,0,3,3,3,,15
211,Sütlaç,337.26,6.54,6.15,63.02,3,3,2,1,,15
212,Şekerpare,454.22,5.88,20.12,62.02,0,3,3,3,,15
213,Tavuk Göğsü,374.04,11.04,6.23,67.48,3,3,2,1,,15
214,Tezpişti(Yumurtalı Muhallebi),341.84,8.26,7.59,59.38,3,3,2,1,,15
215,Vişne Hoşafı,173.78,0.9,0.5,39.82,1,3,3,5,,15
216,Zerde,258.68,1.84,1.97,56.08,1,3,3,3,,15
217,Akdeniz Salata,60.11,1.97,0.69,9.02,0,3,,2,,14
218,Anadolu Çorba,214.14,7.93,5.64,30.28,1,2,1,4,3,10
219,Ankara Tava,489.38,36.58,16.83,47.23,0,1,,0,3,2
220,Bahçe Soslu Tavuk,344.98,35.49,21.17,3.14,0,1,1,0,2,3
221,Bahçıvan Kebabı Kış,274.37,22.72,14.84,12.2,0,1,1,0,2,17
222,Barbunya Pilaki,246.16,14.12,5.98,32.76,0,2,1,4,,8
223,Brokoli Çorba,102.35,4.92,5.96,7.24,1,2,0,2,,10
224,Cacık,178.41,8.3,11.39,9.31,1,3,2,1,2,14
225,Cevizli Baklava,471.5,5.73,23.85,58.01,0,3,,3,,15
226,Cevizli Erişte,326.2,9.22,12.81,43.16,0,2,2,3,,12
227,Cevizli Tel Kadayıf,462.75,4.01,24.29,56.42,0,3,,3,,15
228,Çardak Kebabı,380.94,25.41,12.6,40.34,0,1,1,0,2,17
229,Dalyan Köfte,304.09,29.96,14.93,12.21,0,1,,0,2,18
230,Domates Çorba,164.05,5.13,10.65,11.75,1,2,1,2,,10
231,Düğün Çorba,228.51,15.36,12.06,12.32,1,2,2,0,1,10
232,Elbasan Tava,379.07,35.42,23.98,5.67,0,1,,0,,2
233,Et Kavurma,333.17,40.04,19.29,0,0,1,,0,,17
234,Etli Biber Dolma,355.47,18.85,13.14,38.26,0,1,,3,,6
235,Etli Kış Türlüsü,327.81,14.66,24.18,12.91,0,1,1,0,2,4
236,Etli Kuru Fasulye,326.56,27.25,10.97,28.8,0,1,1,4,0,5
237,Etli Nohut,229.3,19.32,10.85,13.16,0,1,1,4,0,5
238,Etli Taze Fasulye,184.2,15.03,9.34,9.76,0,1,1,2,0,4
239,Ezogelin Çorba,260.07,10.8,6.06,35.47,1,2,1,4,3,10
240,Fırın Tavuk,218.55,30.9,10.39,0.28,0,1,,0,,3
241,Havuç Karalahana Salatası,144.76,3.34,5.88,18.17,0,3,,2,,14
242,Havuç Tarator,161,7.4,6.7,16.58,0,3,2,2,1,14
243,İmambayıldı,195.37,3.58,15.58,9.95,0,2,2,2,,7
244,İrmik Helvası,461.59,8,13.03,77.21,0,3,,3,,15
245,İslim Kebabı,348.84,33.81,21.74,4.46,0,1,1,0,2,17
246,İzmir Köfte,359.1,29.59,15.29,24.85,0,1,1,0,2,18
247,Kabak Sandal Sefası,207.49,18.62,10.61,8.59,0,1,,2,0,4
248,Kadınbudu Köfte (Püreli),540.21,29.96,35.36,25.53,0,1,,0,2,18
249,Karnıyarık,330.64,16.62,25.34,9.16,0,1,,2,0,4
250,Kemalpaşa Tatlısı,483.89,7.95,16.03,76.22,0,3,,3,,15
251,Keşkül,381.31,9.27,11.78,58.96,0,3,2,3,1,15
252,Kış Salata,96.63,3.1,5.53,7.2,0,3,,2,,14
253,Kıymalı Bezelye,284.56,21.7,10.45,24.91,0,1,1,2,0,4
